,RUL-predicted
0,212.67
1,222.5625
2,207.0925
3,205.4925
4,212.15
5,226.7525
6,215.58
7,202.3475
8,206.5225
9,204.7125
10,211.2975
11,201.76
12,214.845
13,200.965
14,198.1425
15,193.51
16,221.4575
17,189.1025
18,181.19
19,182.035
20,185.39
21,195.56
22,206.3625
23,187.075
24,177.035
25,189.015
26,178.145
27,204.4
28,176.8725
29,169.5775
30,169.47
31,182.635
32,186.4325
33,204.5925
34,203.3125
35,196.365
36,204.1575
37,198.48
38,192.52
39,185.6875
40,186.02
41,197.0375
42,192.6275
43,183.08
44,183.215
45,185.735
46,191.0675
47,189.615
48,182.665
49,182.4875
50,185.8175
51,174.43
52,172.61
53,175.785
54,165.9725
55,175.1375
56,172.5825
57,171.75
58,169.785
59,170.175
60,163.3025
61,164.495
62,160.8975
63,153.625
64,165.19
65,165.11
66,159.6675
67,176.5525
68,157.61
69,148.785
70,157.605
71,157.135
72,162.625
73,143.805
74,144.4225
75,155.0175
76,142.4875
77,160.5425
78,150.9425
79,153.2425
80,190.0075
81,191.3525
82,187.9975
83,190.37
84,192.8575
85,184.6175
86,181.78
87,175.9025
88,193.745
89,181.1225
90,191.5825
91,183.1375
92,184.0325
93,178.215
94,188.7075
95,180.8
96,177.165
97,182.325
98,168.2375
99,169.785
100,170.7
101,169.1175
102,167.79
103,170.66
104,171.46
105,170.3175
106,164.1925
107,173.65
108,158.585
109,165.17
110,157.19
111,160.79
112,163.1025
113,163.4225
114,163.5325
115,164.7775
116,160.715
117,159.98
118,156.32
119,154.0675
120,163.4225
121,152.0325
122,149.15
123,154.1
124,148.105
125,160.1525
126,147.03
127,146.54
128,152.195
129,134.8225
130,155.375
131,140.0725
132,144.34
133,151.705
134,155.9875
135,140.14
136,136.275
137,132.2825
138,137.745
139,140.2175
140,138.795
141,147.325
142,132.605
143,127.1925
144,150.3525
145,124.47
146,139.545
147,134.0175
148,126.7825
149,115.9
150,120.9925
151,125.13
152,126.15
153,124.53
154,125.555
155,123.24
156,111.075
157,126.15
158,114.695
159,114.1
160,115.445
161,116.1125
162,103.1575
163,115.085
164,108.1925
165,118.61
166,100.4875
167,102.7625
168,105.625
169,110.2825
170,112.26
171,103.22
